request_id,period,reporter,partner,flow,classification,url_or_endpoint,status,records,retrieved_at
REQ_COMTRADE_ANN_IND_WLD,2015-2025,IND,WLD,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.788728+00:00
REQ_COMTRADE_MON_IND_WLD,202201-202512,IND,WLD,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.798191+00:00
REQ_COMTRADE_ANN_IND_USA,2015-2025,IND,USA,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.802711+00:00
REQ_COMTRADE_MON_IND_USA,202201-202512,IND,USA,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.813779+00:00
REQ_COMTRADE_ANN_IND_ARE,2015-2025,IND,ARE,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.816806+00:00
REQ_COMTRADE_MON_IND_ARE,202201-202512,IND,ARE,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.827908+00:00
REQ_COMTRADE_ANN_IND_CHN,2015-2025,IND,CHN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.831466+00:00
REQ_COMTRADE_MON_IND_CHN,202201-202512,IND,CHN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.842443+00:00
REQ_COMTRADE_ANN_IND_SAU,2015-2025,IND,SAU,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.845975+00:00
REQ_COMTRADE_MON_IND_SAU,202201-202512,IND,SAU,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.860295+00:00
