dataset,column,description,source,grain,data_type,unit,join_role,notes
01_partner_discovery_eda.csv,reporter_iso3,ISO 3166-1 alpha-3 code of declaring exporter country (India = IND),UN Comtrade,Corridor,VARCHAR(3),ISO3,BASE_KEY,Strictly IND
01_partner_discovery_eda.csv,partner_iso3,ISO 3166-1 alpha-3 code of trading partner country,UN Comtrade,Corridor,VARCHAR(3),ISO3,BASE_KEY,World & 14 major corridors
01_partner_discovery_eda.csv,partner_iso2,ISO 3166-1 alpha-2 code of trading partner,Country/Currency Master,Country,VARCHAR(2),ISO2,ENRICHMENT,Bridge to UN/LOCODE & GLEIF
01_partner_discovery_eda.csv,partner_numeric,UN M49 numeric country code of partner,Country/Currency Master,Country,VARCHAR(3),M49,ENRICHMENT,Statistical standard
01_partner_discovery_eda.csv,hs6,6-digit Harmonized System commodity classification code,UN Comtrade,Corridor,VARCHAR(6),HS6,BASE_KEY,Commodity chapter level
01_partner_discovery_eda.csv,year,Trade reporting calendar year,UN Comtrade,Corridor,INTEGER,Year,BASE_KEY,Temporal axis
01_partner_discovery_eda.csv,trade_value_usd,Total bilateral trade value in US Dollars,UN Comtrade,Corridor,"DECIMAL(18,2)",USD,METRIC,Exports + Imports
01_partner_discovery_eda.csv,export_value_usd,Outbound export trade value from India to partner,UN Comtrade,Corridor,"DECIMAL(18,2)",USD,METRIC,Flow = Export
01_partner_discovery_eda.csv,import_value_usd,Inbound import trade value from partner into India,UN Comtrade,Corridor,"DECIMAL(18,2)",USD,METRIC,Flow = Import
01_partner_discovery_eda.csv,trade_balance_usd,Net bilateral trade balance (Exports - Imports),Derived,Corridor,"DECIMAL(18,2)",USD,METRIC,Positive = Surplus
01_partner_discovery_eda.csv,net_weight_kg,Aggregate net weight of traded goods in kilograms,UN Comtrade,Corridor,"DECIMAL(18,2)",kg,METRIC,Physical volume
01_partner_discovery_eda.csv,quantity,Aggregate physical quantity of shipments,UN Comtrade,Corridor,"DECIMAL(18,2)",Units,METRIC,Supplementary quantity
01_partner_discovery_eda.csv,unit_value_usd_per_kg,Average unit price in USD per kilogram,Derived,Corridor,"DECIMAL(18,4)",USD/kg,FEATURE,Value / Net Weight
01_partner_discovery_eda.csv,corridor_product_share_pct,Percentage share of HS6 code within partner corridor trade,Derived,Corridor,"DECIMAL(6,2)",%,FEATURE,Product concentration
01_partner_discovery_eda.csv,transaction_count,Total recorded Comtrade monthly/annual flow observations,UN Comtrade,Corridor,INTEGER,Count,METRIC,Granular observations
01_partner_discovery_eda.csv,currency_code,ISO 4217 alphabetic national currency code of partner,Country/Currency Master,Country,VARCHAR(3),ISO4217,ENRICHMENT,Official currency
01_partner_discovery_eda.csv,currency_name,Official currency name,Country/Currency Master,Country,VARCHAR(64),Text,ENRICHMENT,Currency description
01_partner_discovery_eda.csv,gdp,Gross Domestic Product in current US Dollars,World Bank WDI,Country,"DECIMAL(20,2)",USD,ENRICHMENT,NY.GDP.MKTP.CD
01_partner_discovery_eda.csv,gdp_per_capita,GDP per capita in current US Dollars,World Bank WDI,Country,"DECIMAL(12,2)",USD,ENRICHMENT,NY.GDP.PCAP.CD
01_partner_discovery_eda.csv,gdp_growth,Annual real GDP growth rate,World Bank WDI,Country,"DECIMAL(6,2)",%,ENRICHMENT,NY.GDP.MKTP.KD.ZG
01_partner_discovery_eda.csv,inflation,Consumer price index annual inflation rate,World Bank WDI,Country,"DECIMAL(6,2)",%,ENRICHMENT,FP.CPI.TOTL.ZG
01_partner_discovery_eda.csv,population,Total national population,World Bank WDI,Country,BIGINT,Persons,ENRICHMENT,SP.POP.TOTL
01_partner_discovery_eda.csv,trade_pct_gdp,Trade openness indicator (% of GDP),World Bank WDI,Country,"DECIMAL(6,2)",%,ENRICHMENT,NE.TRD.GNFS.ZS
01_partner_discovery_eda.csv,tariff_rate,Effectively applied tariff rate percentage on HS6 product,WITS / WTO,Product,"DECIMAL(6,2)",%,ENRICHMENT,2024 applied schedule
01_partner_discovery_eda.csv,tariff_type,Tariff agreement schedule type (PREFERENTIAL / MFN_APPLIED),WITS / WTO,Product,VARCHAR(32),Categorical,ENRICHMENT,Classification type
01_partner_discovery_eda.csv,tariff_year,Tariff schedule applicable year,WITS / WTO,Product,INTEGER,Year,ENRICHMENT,Reference year
01_partner_discovery_eda.csv,tariff_source,Tariff data provider,WITS / WTO,Product,VARCHAR(64),Source,ENRICHMENT,WITS_UNCTAD_TRAINS
01_partner_discovery_eda.csv,rta_exists,"Binary indicator (1=Active RTA with India, 0=No RTA / MFN)",WTO RTA Database,Country-Pair,INTEGER,Binary,ENRICHMENT,WTO RTA status
01_partner_discovery_eda.csv,rta_name,Official name of bilateral/plurilateral trade agreement,WTO RTA Database,Country-Pair,VARCHAR(128),Text,ENRICHMENT,e.g. India-UAE CEPA
01_partner_discovery_eda.csv,rta_status,Legal status of agreement (In Force / Under Negotiation),WTO RTA Database,Country-Pair,VARCHAR(64),Categorical,ENRICHMENT,WTO legal status
01_partner_discovery_eda.csv,rta_entry_into_force,Effective date of agreement entry into force,WTO RTA Database,Country-Pair,DATE,ISO8601,ENRICHMENT,Treaty effective date
01_partner_discovery_eda.csv,rta_type,"Agreement scope type (FTA, CEPA, CECA, PTA)",WTO RTA Database,Country-Pair,VARCHAR(32),Categorical,ENRICHMENT,Agreement scope
01_partner_discovery_eda.csv,rta_coverage,Trade coverage domains (Goods / Goods & Services),WTO RTA Database,Country-Pair,VARCHAR(32),Categorical,ENRICHMENT,Coverage domain
01_partner_discovery_eda.csv,partner_locode_count,Total official UN/LOCODE trade locations in partner country,UN/LOCODE 2025-1,Country,INTEGER,Count,ENRICHMENT,Logistics breadth
01_partner_discovery_eda.csv,partner_port_count,Total active maritime seaport locations in partner country,UN/LOCODE 2025-1,Country,INTEGER,Count,ENRICHMENT,Function classifier = 1
01_partner_discovery_eda.csv,partner_airport_count,Total active international airport cargo hubs,UN/LOCODE 2025-1,Country,INTEGER,Count,ENRICHMENT,Function classifier = 4
01_partner_discovery_eda.csv,partner_inland_terminal_count,Total active rail/road ICD inland terminals,UN/LOCODE 2025-1,Country,INTEGER,Count,ENRICHMENT,Function classifier = 2/3/6
01_partner_discovery_eda.csv,scomet_match_flag,"Binary indicator (1=Controlled SCOMET Dual-Use, 0=Standard)",DGFT SCOMET,Product,INTEGER,Binary,ENRICHMENT,Export control tag
01_partner_discovery_eda.csv,scomet_category,DGFT SCOMET category classification reference,DGFT SCOMET,Product,VARCHAR(64),Text,ENRICHMENT,Appendix 3 Category
01_partner_discovery_eda.csv,scomet_item_reference,Official SCOMET schedule item citation,DGFT SCOMET,Product,VARCHAR(64),Citation,ENRICHMENT,DGFT citation
