dataset,column,rows,missing_rows,missing_percentage
comtrade_india_world.csv,period,75520,0,0.0
comtrade_india_world.csv,reporter_iso3,75520,0,0.0
comtrade_india_world.csv,partner_iso3,75520,0,0.0
comtrade_india_world.csv,partner_name,75520,61360,81.25
comtrade_india_world.csv,partner2_iso3,75520,0,0.0
comtrade_india_world.csv,trade_flow,75520,0,0.0
comtrade_india_world.csv,hs6,75520,0,0.0
comtrade_india_world.csv,product_description,75520,0,0.0
comtrade_india_world.csv,trade_value_usd,75520,0,0.0
comtrade_india_world.csv,net_weight_kg,75520,0,0.0
comtrade_india_world.csv,quantity,75520,0,0.0
comtrade_india_world.csv,quantity_unit,75520,0,0.0
comtrade_india_world.csv,alternate_quantity,75520,75520,100.0
comtrade_india_world.csv,alternate_quantity_unit,75520,75520,100.0
comtrade_india_world.csv,transport_mode,75520,0,0.0
comtrade_india_world.csv,customs_code,75520,0,0.0
comtrade_india_world.csv,classification,75520,0,0.0
comtrade_india_world.csv,source_record_id,75520,0,0.0
comtrade_india_world.csv,source_file,75520,0,0.0
comtrade_india_world.csv,source_url,75520,0,0.0
comtrade_india_world.csv,retrieved_at,75520,0,0.0
document_annotations.csv,document_id,91,0,0.0
document_annotations.csv,source_dataset,91,0,0.0
document_annotations.csv,source_version,91,0,0.0
document_annotations.csv,split,91,0,0.0
document_annotations.csv,image_path_or_id,91,0,0.0
document_annotations.csv,language,91,0,0.0
document_annotations.csv,document_type,91,0,0.0
document_annotations.csv,token_index,91,0,0.0
document_annotations.csv,token,91,0,0.0
document_annotations.csv,x0,91,0,0.0
document_annotations.csv,y0,91,0,0.0
document_annotations.csv,x1,91,0,0.0
document_annotations.csv,y1,91,0,0.0
document_annotations.csv,entity_label,91,0,0.0
document_annotations.csv,linked_token_ids,91,57,62.6374
document_annotations.csv,key,91,32,35.1648
document_annotations.csv,value,91,33,36.2637
entity_master.csv,lei,7,0,0.0
entity_master.csv,legal_name,7,0,0.0
entity_master.csv,entity_status,7,0,0.0
entity_master.csv,jurisdiction,7,0,0.0
entity_master.csv,legal_address,7,0,0.0
entity_master.csv,headquarters_address,7,0,0.0
entity_master.csv,parent_lei,7,2,28.5714
entity_master.csv,ultimate_parent_lei,7,2,28.5714
entity_master.csv,registration_authority,7,0,0.0
entity_master.csv,registration_id,7,0,0.0
entity_master.csv,country_iso3,7,0,0.0
