hs6,product_description
30617,Frozen shrimps and prawns (Vannamei / Black Tiger Shrimp)
90121,"Coffee, roasted, not decaffeinated"
90240,Black tea (fermented) and partly fermented tea
90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper)
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati Rice)"
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)"
151190,"Palm oil and its fractions, refined but not chemically modified (RBD Palm Olein)"
270112,"Bituminous coal, whether or not pulverized, but not agglomerated"
270900,"Petroleum oils and oils obtained from bituminous minerals, crude"
271019,"Medium oils and preparations, of petroleum or bituminous minerals"
271019,"Medium oils and preparations, of petroleum or bituminous minerals (Diesel/Gas Oil)"
280461,Silicon containing by weight not less than 99.99% of silicon
293339,Heterocyclic compounds with nitrogen hetero-atom(s) only (Active Pharmaceutical Ingredients)
300490,Medicaments consisting of mixed or unmixed products for therapeutic uses (Formulations)
300490,Medicaments consisting of mixed or unmixed products for therapeutic uses
310520,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium (NPK)"
390110,Polyethylene having a specific gravity of less than 0.94 (Plastics in primary forms)
520512,"Single cotton yarn, measuring < 714.29 dtex but >= 232.56 dtex"
520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex"
610910,"T-shirts, singlets and other vests, knitted or crocheted, of cotton"
620342,"Men's or boys' trousers, bib and brace overalls, of cotton"
690721,"Ceramic flags and paving, hearth or wall tiles (Water absorption <= 0.5%)"
710239,"Diamonds, non-industrial, worked, but not mounted or set (Cut & Polished Diamonds)"
711319,"Articles of jewellery and parts thereof, of precious metal other than silver"
711319,"Articles of jewellery and parts thereof, of precious metal other than silver (Gold Jewellery)"
720839,"Flat-rolled products of iron or non-alloy steel, hot-rolled, in coils"
730890,Structures and parts of structures of iron or steel (Infrastructure & Towers)
760110,"Aluminium, not alloyed, unwrought"
841199,Parts of turbo-jets or turbo-propellers (Aerospace & Gas Turbine Components)
847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)"
847130,"Portable automatic data processing machines, not > 10 kg (Laptops & Tablets)"
847989,Machines and mechanical appliances having individual functions (Industrial Automation)
850440,"Static converters (Power supplies, Inverters, Semiconductor Rectifiers)"
851712,Telephones for cellular networks or for other wireless networks
851712,Telephones for cellular networks / smartphones
851713,Smartphones for cellular networks or for other wireless networks
854143,Photovoltaic cells assembled in modules or made up into panels (Solar Panels)
870322,Motor cars and vehicles for transport of persons (1000cc - 1500cc)
870829,Parts and accessories of bodies for motor vehicles
901890,"Medical, surgical or dental instruments and electro-medical apparatus"
