period,year,reporter_iso3,partner_iso3,partner_name,partner_iso2,region_name,hs6,product_description,trade_value_usd,net_weight_kg,quantity,unit_value_usd_per_kg,transaction_count,trade_volatility_6m,unit_value_volatility_6m,trade_growth_mom,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,population,trade_pct_gdp,tariff_rate,tariff_type,tariff_scope,rta_exists,rta_name,rta_status,rta_in_force_for_year,partner_locode_count,partner_port_count,partner_airport_count,partner_inland_terminal_count,sanctions_entity_count,ofac_entity_count,sanctions_present
202201,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),177344200.3,30810989.83,30810989.83,5.7559,16,,,,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202202,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),136021479.94,24473034.53,24473034.53,5.558,16,,,-0.233,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202203,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),158261881.10999998,29276303.16,29276303.16,5.4058,16,29219575.78,0.1399,0.1635,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202204,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),119726441.94,22455074.05,22455074.05,5.3318,16,20681463.39,0.1755,-0.2435,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202205,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),122613209.98,22951444.27,22951444.27,5.3423,16,25226725.22,0.1874,0.0241,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202206,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),106785488.75,19960230.22,19960230.22,5.3499,16,24587675.95,0.1793,-0.1291,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202207,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),187011612.42,34155571.4,34155571.4,5.4753,16,26452570.84,0.1688,0.7513,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202208,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),136055140.21,25837234.759999998,25837234.759999998,5.2659,16,29531821.16,0.09,-0.2725,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202209,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),140723276.53,25410842.41,25410842.41,5.5379,16,29531281.38,0.0713,0.0343,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202210,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),105885055.48,19310253.56,19310253.56,5.4834,16,28001548.03,0.1016,-0.2476,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
