Destination_Label,2016_Perunit_freight_rate_USkg_Value,2016_Perunit_freight_rate_USkg_Footnote,2016_Perunit_freight_rate_USkg_MissingValue,2017_Perunit_freight_rate_USkg_Value,2017_Perunit_freight_rate_USkg_Footnote,2017_Perunit_freight_rate_USkg_MissingValue,2018_Perunit_freight_rate_USkg_Value,2018_Perunit_freight_rate_USkg_Footnote,2018_Perunit_freight_rate_USkg_MissingValue,2019_Perunit_freight_rate_USkg_Value,2019_Perunit_freight_rate_USkg_Footnote,2019_Perunit_freight_rate_USkg_MissingValue,2020_Perunit_freight_rate_USkg_Value,2020_Perunit_freight_rate_USkg_Footnote,2020_Perunit_freight_rate_USkg_MissingValue,2021_Perunit_freight_rate_USkg_Value,2021_Perunit_freight_rate_USkg_Footnote,2021_Perunit_freight_rate_USkg_MissingValue
"World",0.111,"Experimental",,0.084,"Experimental",,0.081,"Experimental",,0.085,"Experimental",,0.085,"Experimental",,0.105,"Experimental",
"Africa",0.092,"Experimental",,0.096,"Experimental",,0.098,"Experimental",,0.159,"Experimental",,0.142,"Experimental",,0.181,"Experimental",
"Northern Africa",0.113,"Experimental",,0.088,"Experimental",,0.091,"Experimental",,0.372,"Experimental",,0.264,"Experimental",,0.275,"Experimental",
"Sub-Saharan Africa",0.081,"Experimental",,0.102,"Experimental",,0.103,"Experimental",,0.036,"Experimental",,0.056,"Experimental",,0.101,"Experimental",
"Eastern Africa",0.062,"Experimental",,0.104,"Experimental",,0.092,"Experimental",,0.015,"Experimental",,0.026,"Experimental",,0.062,"Experimental",
"Middle Africa",0.111,"Experimental",,0.129,"Experimental",,0.138,"Experimental",,0.149,"Experimental",,0.126,"Experimental",,0.158,"Experimental",
"Southern Africa",0.048,"Experimental",,0.115,"Experimental",,0.117,"Experimental",,0.143,"Experimental",,0.115,"Experimental",,0.077,"Experimental",
"Western Africa",0.133,"Experimental",,0.092,"Experimental",,0.103,"Experimental",,0.132,"Experimental",,0.124,"Experimental",,0.159,"Experimental",
"Americas",0.162,"Experimental",,0.139,"Experimental",,0.135,"Experimental",,0.093,"Experimental",,0.129,"Experimental",,0.173,"Experimental",
"Northern America",0.188,"Experimental",,0.173,"Experimental",,0.17,"Experimental",,0.109,"Experimental",,0.153,"Experimental",,0.202,"Experimental",
"Latin America and the Caribbean",0.096,"Experimental",,0.069,"Experimental",,0.082,"Experimental",,0.066,"Experimental",,0.073,"Experimental",,0.113,"Experimental",
"Caribbean",0.115,"Experimental",,0.09,"Experimental",,0.082,"Experimental",,0.048,"Experimental",,0.09,"Experimental",,0.126,"Experimental",
"Central America",0.163,"Experimental",,0.112,"Experimental",,0.111,"Experimental",,0.109,"Experimental",,0.111,"Experimental",,0.137,"Experimental",
"South America",0.083,"Experimental",,0.06,"Experimental",,0.079,"Experimental",,0.061,"Experimental",,0.065,"Experimental",,0.108,"Experimental",
"Asia",0.093,"Experimental",,0.063,"Experimental",,0.058,"Experimental",,0.059,"Experimental",,0.057,"Experimental",,0.072,"Experimental",
"Central Asia",0.135,"Experimental",,0.105,"Experimental",,0.081,"Experimental",,0.11,"Experimental",,0.099,"Experimental",,0.123,"Experimental",
"Eastern Asia",0.083,"Experimental",,0.052,"Experimental",,0.048,"Experimental",,0.049,"Experimental",,0.046,"Experimental",,0.062,"Experimental",
"South-eastern Asia",0.13,"Experimental",,0.089,"Experimental",,0.084,"Experimental",,0.089,"Experimental",,0.085,"Experimental",,0.099,"Experimental",
"Southern Asia",0.082,"Experimental",,0.065,"Experimental",,0.061,"Experimental",,0.061,"Experimental",,0.059,"Experimental",,0.076,"Experimental",
"Western Asia",0.1,"Experimental",,0.075,"Experimental",,0.074,"Experimental",,0.076,"Experimental",,0.079,"Experimental",,0.079,"Experimental",
"Europe",0.123,"Experimental",,0.102,"Experimental",,0.099,"Experimental",,0.103,"Experimental",,0.107,"Experimental",,0.127,"Experimental",
"Eastern Europe",0.152,"Experimental",,0.122,"Experimental",,0.108,"Experimental",,0.115,"Experimental",,0.122,"Experimental",,0.148,"Experimental",
"Northern Europe",0.122,"Experimental",,0.1,"Experimental",,0.087,"Experimental",,0.098,"Experimental",,0.102,"Experimental",,0.131,"Experimental",
"Southern Europe",0.085,"Experimental",,0.072,"Experimental",,0.072,"Experimental",,0.075,"Experimental",,0.077,"Experimental",,0.094,"Experimental",
"Western Europe",0.13,"Experimental",,0.11,"Experimental",,0.114,"Experimental",,0.115,"Experimental",,0.116,"Experimental",,0.133,"Experimental",
"Oceania",0.185,"Experimental",,0.079,"Experimental",,0.085,"Experimental",,0.075,"Experimental",,0.096,"Experimental",,0.128,"Experimental",
"Asia and Oceania",0.094,"Experimental",,0.063,"Experimental",,0.059,"Experimental",,0.06,"Experimental",,0.058,"Experimental",,0.073,"Experimental",
"Northern America and Europe",0.138,"Experimental",,0.116,"Experimental",,0.113,"Experimental",,0.105,"Experimental",,0.118,"Experimental",,0.143,"Experimental",
