reporter_iso3,partner_iso3,cmd_code,period,export_value_usd,export_net_weight,import_value_usd,import_net_weight,export_unit_value,import_unit_value
ARE,CHN,090411,202201,11665655.53,1911204.99,5349657.89,1164883.15,6.1038,4.5924
ARE,CHN,090411,202202,15199792.04,2742854.19,9950821.95,1941290.65,5.5416,5.1259
ARE,CHN,090411,202203,12525824.94,2690343.9,8826183.31,1948097.37,4.6558,4.5307
ARE,CHN,090411,202204,557874.71,91927.44,10774422.72,2378854.61,6.0686,4.5292
ARE,CHN,090411,202205,2009172.58,408909.49,8152002.8,1429792.29,4.9135,5.7015
ARE,CHN,090411,202206,7367102.28,1284017.51,1837302.71,376099.76,5.7375,4.8851
ARE,CHN,090411,202207,7893278.9,1686642.99,19694696.56,4078129.52,4.6799,4.8293
ARE,CHN,090411,202208,7564466.45,1611929.24,16740514.67,3361698.91,4.6928,4.9798
ARE,CHN,090411,202209,14175127.66,2418011.43,7075037.13,1286783.24,5.8623,5.4982
ARE,CHN,090411,202210,5533237.61,1107393.36,12654196.96,2641393.12,4.9966,4.7907
ARE,CHN,090411,202211,6696525.55,1080227.16,9493351.01,1916590.66,6.1992,4.9532
ARE,CHN,090411,202212,8115950.22,1704742.35,15414431.59,2552008.05,4.7608,6.0401
ARE,CHN,090411,202301,14512800.55,2999547.95,9499452.33,1938702.89,4.8383,4.8999
ARE,CHN,090411,202302,18137714.64,3789649.99,18317993.03,3329030.16,4.7861,5.5025
ARE,CHN,090411,202303,10791610.21,2021544.91,5371515.49,995646.47,5.3383,5.395
ARE,CHN,090411,202304,8480237.62,1449096.79,1012428.67,211165.69,5.8521,4.7945
ARE,CHN,090411,202305,12694110.28,2744172.26,1866811.04,353519.06,4.6258,5.2807
ARE,CHN,090411,202306,4305060.35,718221.99,3325389.8,557482.64,5.9941,5.965
ARE,CHN,090411,202307,14508299.08,2961483.3,11731310.13,2554876.99,4.899,4.5917
ARE,CHN,090411,202308,1872707.81,411499.98,2705822.64,454350.46,4.5509,5.9554
ARE,CHN,090411,202309,6356973.17,1081188.63,10444719.43,1785337.62,5.8796,5.8503
ARE,CHN,090411,202310,9423310.89,1794357.96,3303002.3,553272.66,5.2516,5.9699
ARE,CHN,090411,202311,7764009.49,1322953.56,15541723.33,2824281.49,5.8687,5.5029
ARE,CHN,090411,202312,8165728.4,1666134.5,13122716.79,2689570.27,4.901,4.8791
