exporter_iso3,exporter_iso2,importer_iso3,importer_iso2,importer_numeric,importer_country_name,currency_code,currency_name,hs6,product_description,year,export_value_usd,export_net_weight_kg,quantity,fob_unit_value_usd_per_kg,destination_market_share_pct,transaction_count,destination_gdp,destination_gdp_per_capita,destination_gdp_growth,destination_inflation,destination_population,destination_trade_pct_gdp,destination_applied_tariff_rate,mfn_tariff_rate,tariff_preference_margin,tariff_type,rta_exists,rta_name,rta_status,rta_entry_into_force,rta_type,rta_coverage,destination_locode_count,destination_port_count,destination_airport_count,destination_inland_terminal_count,scomet_match_flag,scomet_category,scomet_item_reference,gleif_buyer_count,gleif_active_buyer_count,sanctions_entity_count,ofac_entity_count,sanctions_present
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2015,9113793.38,1493128.9,1493128.9,6.1038,0.37,1,4113688883373.54,2762.28,8.3,2.1,1484697164.0,41.75,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2016,12239264.89,2208617.0,2208617.0,5.5416,0.46,1,4463352438460.3,2963.92,8.8,2.1,1501028832.0,42.2,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2017,11655916.07,2503501.59,2503501.59,4.6558,0.43,1,4842737395729.42,3180.29,8.3,2.1,1517540150.0,42.65,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2018,620153.86,102189.89,102189.89,6.0686,0.02,1,5254370074366.42,3412.45,8.8,2.1,1534233091.0,43.1,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2019,2395152.25,487464.58,487464.58,4.9135,0.07,1,5700991530687.57,3661.56,8.3,2.1,1551109655.0,43.55,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2020,8118694.65,1415013.07,1415013.07,5.7375,0.31,1,6185575810796.01,3928.85,2.5,2.1,1568171861.0,44.0,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2021,7839233.77,1675094.58,1675094.58,4.6799,0.19,1,6711349754713.67,4215.66,11.0,2.1,1585421752.0,44.45,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2022,7418347.77,1580792.48,1580792.48,4.6928,0.19,1,7281814483864.33,4523.4,11.0,5.6,1602861391.0,44.9,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2023,15504738.12,2644818.09,2644818.09,5.8623,0.36,1,7900768714992.8,4853.61,8.3,5.6,1620492866.0,45.35,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2024,7209437.26,1442859.22,1442859.22,4.9966,0.16,1,8572334055767.19,5207.92,8.8,2.1,1638318288.0,45.8,15.0,15.0,0.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,GENERAL_GOODS,N/A,0,0,0,0,0
