period,reporter_code,reporter_iso3,partner_code,partner_iso3,partner2_code,cmd_code,cmd_desc,flow_code,flow_desc,primary_value,net_weight,quantity,quantity_unit,mot_code,customs_code,classification_code,source_file,retrieved_at
2015,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",2,Export,1170098.49,985273.16,985273.16,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",1,Import,417013.37,376075.98,376075.98,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",2,Export,454971.37,128790.23,128790.23,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",1,Import,1827527.38,563419.44,563419.44,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",2,Export,1670302.82,2024901.8,2024901.8,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",1,Import,1363767.34,1642464.54,1642464.54,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,2,Export,14572141.78,880569.82,880569.82,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,1,Import,10539453.54,334534.8,334534.8,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,2,Export,12353323.59,1092268.25,1092268.25,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,1,Import,10441449.54,1070022.91,1070022.91,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2,Export,9113793.38,1493128.9,1493128.9,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),1,Import,4179420.22,910064.96,910064.96,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",2,Export,17325443860.61,405744.35,405744.35,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",1,Import,49762449089.87,1401559.5,1401559.5,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",2,Export,269842559.72,1882363.54,1882363.54,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2015,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",1,Import,146507635.82,904732.74,904732.74,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",2,Export,2047670.3,1566263.36,1566263.36,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",1,Import,1892582.7,1323679.92,1323679.92,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",2,Export,3540752.73,919285.16,919285.16,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",1,Import,8713577.3,2161735.68,2161735.68,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",2,Export,128428.35,137597.61,137597.61,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",1,Import,303847.41,330474.6,330474.6,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,2,Export,107450648.62,2527775.87,2527775.87,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,1,Import,108969940.57,2445523.93,2445523.93,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,2,Export,9527025.86,1049494.41,1049494.41,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,1,Import,955674.21,99710.75,99710.75,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2,Export,12239264.89,2208617.0,2208617.0,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),1,Import,8012658.69,1563177.34,1563177.34,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",2,Export,45144187662.95,961900.73,961900.73,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",1,Import,6196413672.81,148699.05,148699.05,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",2,Export,311732119.2,1823061.12,1823061.12,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2016,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",1,Import,237991333.89,879998.62,879998.62,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",2,Export,4174088.78,3036922.67,3036922.67,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",1,Import,4292433.21,3764779.34,3764779.34,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",2,Export,9886564.18,3007176.39,3007176.39,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,520512,"Single cotton yarn, of uncombed fibres, measuring < 714.29 dtex but >= 232.56 dtex",1,Import,3043578.59,859043.86,859043.86,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",2,Export,720795.78,839936.36,839936.36,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,271019,"Medium oils and preparations, of petroleum or bituminous minerals",1,Import,1403384.24,1623991.33,1623991.33,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,2,Export,31660354.14,873085.08,873085.08,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,851712,Telephones for cellular networks or for other wireless networks,1,Import,53345009.79,1597035.01,1597035.01,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,2,Export,29306934.8,2326002.92,2326002.92,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,300490,Medicaments consisting of mixed or unmixed products for therapeutic uses,1,Import,2551791.23,253167.17,253167.17,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2,Export,11655916.07,2503501.59,2503501.59,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,090411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),1,Import,8213211.69,1812803.51,1812803.51,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",2,Export,39908704682.65,880513.2,880513.2,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,711319,"Articles of jewellery and parts thereof, of precious metal other than silver",1,Import,82293780762.64,1793156.09,1793156.09,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",2,Export,147652479.72,933488.75,933488.75,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2017,784,ARE,156,CHN,0,847130,"Portable automatic data processing machines, weighing not more than 10 kg (Laptops)",1,Import,367769943.09,2289614.63,2289614.63,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
2018,784,ARE,156,CHN,0,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",2,Export,1747557.01,1246787.01,1246787.01,kg,1,C00,HS2017,comtrade_annual_ARE_CHN_2015_2025.json,2026-08-20T01:01:24.973771+00:00
