period,reporter_iso3,partner_iso3,hs6,trade_flow,trade_value_usd,net_weight_kg,quantity,quantity_unit,product_description,transaction_count,unit_value_usd_per_kg,trade_growth_mom,unit_value_change_mom,quantity_growth_mom,weight_growth_mom,yoy_growth,rolling_mean_3m,rolling_std_3m,partner_share_pct,partner_share_change_mom,new_corridor_flag,mirror_trade_value,mirror_ratio,mirror_difference,mirror_missing_flag,anomaly_type,anomaly_flag,label_source
202201,IND,ARE,90411,Export,83478703.89,14044282.94,14044282.94,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.944,,,,,,,,0.0006,,1,83478703.89,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202202,IND,ARE,90411,Export,70639786.07,12795865.370000001,12795865.370000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5205,-0.1538,-0.0712,-0.0889,-0.0889,,83478703.89,,0.0005,-0.0001,0,70639786.07,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202203,IND,ARE,90411,Export,74385065.50999999,13869833.370000001,13869833.370000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3631,0.053,-0.0285,0.0839,0.0839,,77059244.98,9078485.85,0.0007,0.0002,0,74385065.51,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202204,IND,ARE,90411,Export,61384120.72,11367068.290000001,11367068.290000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4002,-0.1748,0.0069,-0.1804,-0.1804,,76167851.82,6602514.52,0.0006,-0.0001,0,61384120.72,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202205,IND,ARE,90411,Export,67043765.230000004,12243364.1,12243364.1,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4759,0.0922,0.014,0.0771,0.0771,,68802990.77,6692271.97,0.0006,0.0,0,67043765.23,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202206,IND,ARE,90411,Export,53191266.59,9769283.879999999,9769283.879999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4447,-0.2066,-0.0057,-0.2021,-0.2021,,67604317.15,6518573.86,0.0004,-0.0002,0,53191266.59,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202207,IND,ARE,90411,Export,83296014.53,15672053.58,15672053.58,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3149,0.566,-0.0238,0.6042,0.6042,,60539717.51,6964746.39,0.0007,0.0003,0,83296014.53,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202208,IND,ARE,90411,Export,78845337.13,14789820.969999999,14789820.969999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3311,-0.0534,0.003,-0.0563,-0.0563,,67843682.12,15068306.55,0.0006,-0.0001,0,78845337.13,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202209,IND,ARE,90411,Export,73783964.0,13118348.45,13118348.45,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.6245,-0.0642,0.055,-0.113,-0.113,,71777539.42,16249285.69,0.0006,0.0,0,73783964.0,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202210,IND,ARE,90411,Export,69796063.84,12802530.45,12802530.45,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4517,-0.054,-0.0307,-0.0241,-0.0241,,78641771.89,4759291.48,0.0007,0.0001,0,69796063.84,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
