document_id,source_dataset,source_version,split,image_reference,language,document_type,token_index,token,x0,y0,x1,y1,entity_label,linked_token_ids,key,value
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,0,CERTIFICATE,120,45,310,75,HEADER,[],TITLE,CERTIFICATE
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,1,OF,320,45,360,75,HEADER,[],TITLE,OF
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,2,ORIGIN,370,45,490,75,HEADER,[],TITLE,ORIGIN
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,3,Exporter:,50,110,140,130,QUESTION,"[4, 5, 6, 7]",EXPORTER,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,4,Bharat,150,110,210,130,ANSWER,[],,Bharat
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,5,Agro,215,110,260,130,ANSWER,[],,Agro
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,6,Commodities,265,110,380,130,ANSWER,[],,Commodities
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,7,Limited,385,110,450,130,ANSWER,[],,Limited
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,8,Consignee:,50,150,145,170,QUESTION,"[9, 10, 11, 12]",CONSIGNEE,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,9,Gulf,155,150,195,170,ANSWER,[],,Gulf
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,10,Agri,200,150,240,170,ANSWER,[],,Agri
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,11,Foods,245,150,295,170,ANSWER,[],,Foods
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,12,LLC,300,150,335,170,ANSWER,[],,LLC
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,13,Port,50,190,90,210,QUESTION,"[16, 17]",PORT_LOADING,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,14,of,95,190,115,210,QUESTION,"[16, 17]",PORT_LOADING,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,15,Loading:,120,190,185,210,QUESTION,"[16, 17]",PORT_LOADING,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,16,Nhava,195,190,245,210,ANSWER,[],,Nhava
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,17,Sheva,250,190,295,210,ANSWER,[],,Sheva
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,18,Port,50,230,90,250,QUESTION,"[21, 22]",PORT_DISCHARGE,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,19,of,95,230,115,250,QUESTION,"[21, 22]",PORT_DISCHARGE,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,20,Discharge:,120,230,205,250,QUESTION,"[21, 22]",PORT_DISCHARGE,
