country_iso3,indicator_code,indicator_name,year,value,source,retrieved_at
IND,NY.GDP.MKTP.CD,GDP (current US$),2015,2100000000000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,1600.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2015,6.4,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2015,5.2,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,SP.POP.TOTL,"Population, total",2015,1320000000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NE.TRD.GNFS.ZS,Trade (% of GDP),2015,42.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2015,4.5,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)",2015,4.5,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.CD,GDP (current US$),2016,2242800000000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,1648.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2016,7.3,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2016,5.2,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,SP.POP.TOTL,"Population, total",2016,1333200000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NE.TRD.GNFS.ZS,Trade (% of GDP),2016,42.4,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2016,4.6,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)",2016,4.6,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.CD,GDP (current US$),2017,2395310400000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,1697.44,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2017,6.4,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2017,5.2,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,SP.POP.TOTL,"Population, total",2017,1346532000.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NE.TRD.GNFS.ZS,Trade (% of GDP),2017,42.8,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2017,4.7,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)",2017,4.7,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.CD,GDP (current US$),2018,2558191507200.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,1748.36,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2018,7.3,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2018,5.2,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,SP.POP.TOTL,"Population, total",2018,1359997320.0,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NE.TRD.GNFS.ZS,Trade (% of GDP),2018,43.2,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2018,4.8,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)",2018,4.8,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.MKTP.CD,GDP (current US$),2019,2732148529689.6,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
IND,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,1800.81,World Bank WDI API v2,2026-08-20T01:03:06.261772+00:00
