Model,regime,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_pct,R2
Naive (last value),shallow (<=14 prior yrs),648,345974.89905237267,656072.0107869095,32.97160740020647,34.448235988753666,35.78896566924282,0.7502641765723415
Naive (last value),deep (>=15 prior yrs),3328,32109051.32575402,277558871.472243,25.31770351441049,27.060961755103673,28.221109776993615,0.8833335408749441
Moving Average (3-year),shallow (<=14 prior yrs),648,303489.55155285494,564662.8095930992,28.92272928259658,29.949143058396576,30.27886082292644,0.8150066176111227
Moving Average (3-year),deep (>=15 prior yrs),3328,30942561.873408392,244770593.17131495,24.39793687890463,28.572270738213724,29.253492215356825,0.9092692978913677
Linear trend (OLS on 5 steps),shallow (<=14 prior yrs),648,372608.2807618301,748020.8669943886,35.509784036341976,35.96346252320806,39.14613941393891,0.6753575927400468
Linear trend (OLS on 5 steps),deep (>=15 prior yrs),3328,38532333.53622206,303250047.3127339,30.382404833181027,33.911138315370366,37.03050754999778,0.8607364230907124
Production fallback (MA3 x 1.05),shallow (<=14 prior yrs),648,298238.184883777,554370.3709690471,28.422271010619006,29.446685527918458,31.26042084992249,0.8216891192432199
Production fallback (MA3 x 1.05),deep (>=15 prior yrs),3328,31126159.76318594,243824062.71472445,24.542702194207834,28.17063848920323,30.297247651522675,0.9099696542827488
Dual-Head GRU (raw),shallow (<=14 prior yrs),648,390186.8897448881,753584.7009915202,37.18503560984816,39.605457801837126,33.651251997826556,0.6705102039134725
Dual-Head GRU (raw),deep (>=15 prior yrs),3328,72280360.95573074,541924909.7153078,56.99242652877691,47.70422148507878,39.74894047817662,0.5552519845453585
Dual-Head GRU + prod guardrails,shallow (<=14 prior yrs),648,390186.8897448881,753584.7009915202,37.18503560984816,39.605457801837126,33.651251997826556,0.6705102039134725
Dual-Head GRU + prod guardrails,deep (>=15 prior yrs),3328,72280360.95573074,541924909.7153078,56.99242652877691,47.70422148507878,39.74894047817662,0.5552519845453585
Naive (last value),3 calendar yrs in window,1484,11184819.73443291,151887394.86148873,10.493116823412167,17.966523323914647,18.62533244910691,0.9604634157867645
Naive (last value),5 calendar yrs in window,2492,36310129.23787997,298572226.9937516,34.200794551765654,34.39767938563726,35.90333456542113,0.8342477153780432
Moving Average (3-year),3 calendar yrs in window,1484,20709404.676386666,186230963.69203272,19.428672770081203,27.69722654309068,28.702215843486268,0.9405626469963685
Moving Average (3-year),5 calendar yrs in window,2492,29069322.072372217,243636044.477701,27.380621683911045,29.451395476994257,29.848409146962368,0.8896318435944712
Linear trend (OLS on 5 steps),3 calendar yrs in window,1484,25959097.841861986,253383651.18512794,24.353709112224266,32.38214954136774,35.00411327402364,0.8899695576861602
Linear trend (OLS on 5 steps),5 calendar yrs in window,2492,36097012.43064105,290822400.64289176,34.000058165173485,35.35532989935861,38.7873689277584,0.8427406709571913
Production fallback (MA3 x 1.05),3 calendar yrs in window,1484,20126857.900169518,189902203.5360692,18.88215243957195,27.57280293639221,30.01018704662155,0.9381961276016508
Production fallback (MA3 x 1.05),5 calendar yrs in window,2492,29660056.545680553,240662801.95633438,27.93703910186909,28.858466114186793,30.71864980651318,0.8923091894602856
Dual-Head GRU (raw),3 calendar yrs in window,1484,71483830.28028134,588691452.0106951,67.06305509840128,49.53942655780329,41.62441245990324,0.40607563983122685
Dual-Head GRU (raw),5 calendar yrs in window,2492,54060946.319939435,431078275.02189684,50.92042791280995,44.50540800407406,37.04649161936877,0.6544801671748758
Dual-Head GRU + prod guardrails,3 calendar yrs in window,1484,71483830.28028134,588691452.0106951,67.06305509840128,49.53942655780329,41.62441245990324,0.40607563983122685
Dual-Head GRU + prod guardrails,5 calendar yrs in window,2492,54060946.319939435,431078275.02189684,50.92042791280995,44.50540800407406,37.04649161936877,0.6544801671748758
