Model,iso3,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_pct,R2
Naive (last value),ARE,80,285011.322265625,376563.91630942654,28.421748927334484,29.026722490789723,30.87068534877891,-0.674170360561666
Naive (last value),AUS,80,910235.31875,1214258.7141933737,30.436780630498667,31.424341570643527,32.22766768957271,-0.7367198810510891
Naive (last value),CHN,80,9158566.475,12369962.079831965,27.906987722572353,28.994868388848268,30.137753218429097,-0.5278701304352902
Naive (last value),BRA,80,1387303.7578125,1845390.846057481,33.32812711634687,33.3023851640566,34.70268221472056,-1.0238674572396889
Naive (last value),CAN,80,1153444.521875,1518048.1389504292,28.91667324939379,30.174187820778,30.943804940651553,-0.8673612108470232
Naive (last value),GBR,80,1850490.85625,2371512.3082575845,29.014681085178367,30.344837764752935,32.84291458539976,-1.0780084093598123
Naive (last value),IDN,80,616598.7703125,890955.5653237407,23.941311154650187,24.727079085714283,27.2086616544801,-0.38856235240136816
Naive (last value),FRA,80,1927309.996875,2572241.8181826724,27.693846657449672,29.390267333319297,29.637555219295137,-0.8843851215562997
Naive (last value),DEU,80,2454829.7625,3352148.350220938,25.92967388870553,27.711621437629617,30.259695371612178,-0.5115602590754984
Naive (last value),NLD,80,628353.90703125,829867.3560687866,29.220918879746794,30.87682628850444,31.494097501323072,-0.567909891521114
Moving Average (3-year),ARE,80,288376.33984375,345378.04489885207,28.757313437478405,29.81288330881761,31.03506549249258,-0.40835356785365384
Moving Average (3-year),AUS,80,865262.00625,1041594.1669051627,28.93294660143774,29.220661597868574,31.66649304284957,-0.2779221457927574
Moving Average (3-year),CHN,80,9649602.825,11476798.476677638,29.40322028562603,30.348240327207193,32.07323293648129,-0.31519822993987967
Moving Average (3-year),BRA,80,1208337.534375,1477572.204016631,29.028701694431685,29.641930089071444,29.923257181920874,-0.29748626278273305
Moving Average (3-year),CAN,80,1026209.06875,1220832.8370345512,25.72690039601601,26.947881661970186,27.274757874820292,-0.20772943199813532
Moving Average (3-year),GBR,80,1729994.371875,2070348.6213651183,27.12536233809158,28.489683031299585,30.043527662358414,-0.5837385851776726
