Model,hs6,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_pct,R2
Naive (last value),100630,212,29149710.255122345,325387692.84432757,26.39580565174083,18.526200692615603,19.289757313092178,0.84576729083076
Naive (last value),847130,212,11950534.335716391,131084310.88439204,10.770025279644242,21.941544620298682,22.652236165654312,0.9718830481598715
Naive (last value),271019,212,12139743.212411556,123265884.14516087,14.545279807560144,17.89782356312155,19.302582534772466,0.9562820592584809
Naive (last value),520512,212,5859033.709573997,59955088.441096336,6.655499850143895,15.784867446241085,16.022883976900594,0.9902865676072287
Naive (last value),300490,212,6773027.330594045,85296947.83030881,5.221138407644222,17.484536881067314,18.416892813412005,0.9912325787320395
Naive (last value),711319,212,4480202.557893573,44514776.575644575,3.626600196192902,17.72709462759294,17.873782535963393,0.9973680187979579
Naive (last value),851712,212,7941486.739718455,101892062.21911624,7.94192759380123,16.403595436465356,16.819191803953416,0.9785851368823235
Naive (last value),30617,106,26823756.360849056,201690132.4867187,23.273233633562143,34.25845658793548,37.79804195000905,0.9390002754411656
Moving Average (3-year),100630,212,48031512.900316924,373039034.3589552,43.493759237385824,28.70544433055857,29.95097096448524,0.7972864409740805
Moving Average (3-year),847130,212,23640043.959868807,177885410.69877604,21.304810639199395,32.47652146197932,33.396195637186835,0.9482217380827718
Moving Average (3-year),271019,212,22015976.09323408,159644425.31762233,26.37852604536527,28.08560905872866,30.03501609854297,0.9266700443127799
Moving Average (3-year),520512,212,10309664.596734965,72697397.4942111,11.7111412188124,25.020466282099697,25.229362883726864,0.9857190087399543
Moving Average (3-year),300490,212,17206534.038104363,137528154.2764454,13.264038567064942,27.59626901037871,29.326917842174467,0.9772077016435482
Moving Average (3-year),711319,212,8413736.392872937,77456363.20491752,6.810687163987195,26.969398426541296,27.28424859405676,0.9920312795651295
Moving Average (3-year),851712,212,15348364.753574587,127623378.78173177,15.349216784118402,25.026877231348486,25.69279888423071,0.9664034196291599
Moving Average (3-year),30617,106,20884494.066995874,197209320.6882007,18.120120955518264,30.287908518850394,31.17725640717589,0.9416805464920173
Linear trend (OLS on 5 steps),100630,212,43040705.5958652,422844535.55025,38.974456009304966,31.03570632148488,33.84283290397404,0.7395432079615053
Linear trend (OLS on 5 steps),847130,212,38131676.59276976,336975315.25093657,34.36491702567291,38.956628209758094,42.04532816453964,0.8141926099794572
Linear trend (OLS on 5 steps),271019,212,23871247.721771803,187200750.61652526,28.601426850097226,32.95106387981714,36.390899865080996,0.8991701599081542
Linear trend (OLS on 5 steps),520512,212,12533719.081885444,98950912.8621225,14.23752953237394,28.120991776251618,30.250509927395807,0.9735418035914409
Linear trend (OLS on 5 steps),300490,212,30933858.970387705,282179648.20365554,23.846051593117576,33.33229586132139,36.051366504566694,0.9040475059423229
Linear trend (OLS on 5 steps),711319,212,15634243.171647426,111759953.2247923,12.655487920680523,31.146613213036645,32.65235974210533,0.9834099838061575
Linear trend (OLS on 5 steps),851712,212,17568233.758706577,141852082.42879963,17.569209020371492,31.131747527904412,33.79549581050295,0.9584944636831811
Linear trend (OLS on 5 steps),30617,106,11666491.91288519,88869893.3079293,10.122258356362659,35.602938308690334,42.049188544377046,0.9881568320254093
Production fallback (MA3 x 1.05),100630,212,48351525.24904186,393028431.8151438,43.783538576157,28.76434696002515,31.51493148389281,0.7749794514024295
Production fallback (MA3 x 1.05),847130,212,23862589.015846107,192512287.89491072,21.505372037661054,32.32809056045156,34.90073810110707,0.9393565755730959
Production fallback (MA3 x 1.05),271019,212,22321355.19214328,162471741.96118364,26.74441718188236,27.706367924539343,31.161763725496066,0.9240496848057175
Production fallback (MA3 x 1.05),520512,212,10508689.036335494,86506560.12655546,11.937220670407264,24.443776546700132,25.891033936624837,0.9797782511736001
Production fallback (MA3 x 1.05),300490,212,13988449.700066332,106353727.659938,10.783306847517158,27.46380489970226,30.67605397435964,0.986369545887655
Production fallback (MA3 x 1.05),711319,212,8718459.17942954,65641084.71031573,7.057351841137463,27.069979375869508,28.739809115655962,0.9942769718054669
Production fallback (MA3 x 1.05),851712,212,13136937.928323997,106804868.23846883,13.137667196395666,25.23325428745754,27.186978989214474,0.9764702834401865
Production fallback (MA3 x 1.05),30617,106,20987108.395931605,176370533.75992024,18.209152753277888,29.427922181217358,31.844298718749954,0.9533544057789252
Dual-Head GRU (raw),100630,212,42333497.5626474,327814141.9693013,38.33406110874549,40.797559316976766,33.75443320657223,0.8434584561992047
Dual-Head GRU (raw),847130,212,105023996.40735555,760815314.1075326,94.64941604292535,50.77169065669709,41.002940538790966,0.05283574933253543
Dual-Head GRU (raw),271019,212,32884579.971771818,263218017.7616576,39.40078539342448,37.28609778136312,31.726093179288995,0.8006550972189238
Dual-Head GRU (raw),520512,212,11638051.667379128,79259255.89902702,13.220106756108846,41.87917479147022,33.396482369155414,0.9830245769061016
Dual-Head GRU (raw),300490,212,104013035.08719045,748358803.847841,80.18075609060699,46.62115838244353,36.19640839316156,0.3251229858762751
Dual-Head GRU (raw),711319,212,122931768.70142983,876228274.21432,99.50987053151368,82.38022324428941,78.61238127652244,-0.01978568909797307
Dual-Head GRU (raw),851712,212,81561882.56419517,579843671.5946717,81.56641029182423,47.04008173138286,36.682148255831116,0.30648406910253434
Dual-Head GRU (raw),30617,106,41884833.70599941,336889927.8631205,36.3407536002451,40.51352134000446,33.70945857963004,0.8298097699779428
