Model,target_year,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_pct,R2
Naive (last value),2023,1988,27445206.11469206,255176579.39106402,25.56235284891456,27.93644660181711,29.07361327670931,0.885872188710827
Naive (last value),2024,1988,26419539.633142605,252688796.39973614,25.093086127651006,28.593401306481383,29.83539230251811,0.8815805634945983
Moving Average (3-year),2023,1988,25891935.115996763,227317264.44726396,24.115642586557303,28.221482783534256,28.7226643872403,0.909432014519353
Moving Average (3-year),2024,1988,26006207.31061761,220507102.2328183,24.70050610118262,29.371858121202294,30.118544820991012,0.909822917449769
Linear trend (OLS on 5 steps),2023,1988,32694876.35248527,281637378.3702411,30.451874261073968,33.47175772453419,36.17263398528911,0.8609757849520017
Linear trend (OLS on 5 steps),2024,1988,31931409.449567396,273178823.9218541,30.328219894116838,35.019485750612375,38.57798345265103,0.8615971355540506
Production fallback (MA3 x 1.05),2023,1988,25717857.493413605,221404221.85201237,23.95350740007063,27.80602068922793,29.722531066575254,0.9140824940659593
Production fallback (MA3 x 1.05),2024,1988,26485924.214678697,224727597.00457242,25.1561377192065,28.951191138820114,31.18591606371511,0.90633791260009
Dual-Head GRU (raw),2023,1988,61824258.55115851,501577407.4906518,57.58286183397349,45.968309229374135,38.570233266717786,0.5590536029413733
Dual-Head GRU (raw),2024,1988,59303448.876017824,489957115.31088656,56.32598338109849,46.8002952766282,38.940071162841264,0.5547876995850916
Dual-Head GRU + prod guardrails,2023,1988,61824258.55115851,501577407.4906518,57.58286183397349,45.968309229374135,38.570233266717786,0.5590536029413733
Dual-Head GRU + prod guardrails,2024,1988,59303448.876017824,489957115.31088656,56.32598338109849,46.8002952766282,38.940071162841264,0.5547876995850916
